Pathway,ES,NES,P-value,log2err,Size,n_levels,padj,pval_capped,window_id,pt_start,pt_end,pt_mid
E2F Targets,-0.5663692699909135,-2.829144052435168,0.0243772045310202,0.0995037190209989,56,,0.1747032991389785,False,0,0.0,0.22408944,0.11204472
E2F Targets,-0.5806565171625401,-2.900512120059894,0.0198267930185631,0.0995037190209989,56,,0.1420920166330359,False,1,0.06430395,0.22867708,0.14649051
E2F Targets,-0.5982232835176291,-2.988262136148895,0.0141146427819214,0.0995037190209989,56,,0.1011549399371036,False,2,0.080308154,0.23123012,0.15576914
E2F Targets,-0.5884361446027631,-2.9393731386017747,0.0142787665351995,0.0995037190209989,56,,0.0989815848214285,False,3,0.10059606,0.23591903,0.16825755
E2F Targets,-0.5866923257116718,-2.930662364367265,0.0118169102360272,0.0995037190209989,56,,0.1016254280298342,False,4,0.11907045,0.23921235,0.1791414
E2F Targets,-0.5808327434699907,-2.901392410774845,0.0128016527556961,0.0995037190209989,56,,0.0917451780824893,False,5,0.1332953,0.24271435,0.18800482
E2F Targets,-0.57573999411561,-2.8759529628564926,0.0188517048373223,0.0995037190209989,56,,0.2026558270012151,False,6,0.14547694,0.24733211,0.19640452
E2F Targets,-0.5775521015711576,-2.885004854090489,0.0243772045310202,0.0995037190209989,56,,0.1979631696428571,False,7,0.15704538,0.25388083,0.20546311
E2F Targets,-0.5631313184510872,-2.812969743858857,0.0295776748309712,0.0995037190209989,56,,0.1816914311045377,False,8,0.16458675,0.2577608,0.21117377
E2F Targets,-0.5587591781852277,-2.79112990316664,0.040283203125,0.125,56,,0.2886962890625,False,9,0.17135583,0.26477095,0.21806338
E2F Targets,-0.5449720781726298,-2.722260185002736,0.088623046875,0.125,56,,0.4234212239583333,False,10,0.17909756,0.27503127,0.22706442
E2F Targets,-0.5403156522073806,-2.6990002722158,0.0322265625,0.125,56,,0.1732177734375,False,11,0.18386933,0.2837823,0.23382582
E2F Targets,-0.5169285169588067,-2.582176182178109,0.072509765625,0.125,56,,0.3117919921875,False,12,0.18972836,0.29013166,0.23993
E2F Targets,-0.4807385047887899,-2.4013987934437204,0.201416015625,0.125,56,,0.4558362458881579,False,13,0.19306645,0.2966269,0.24484667
E2F Targets,-0.4689895569559654,-2.342710111615803,0.17724609375,0.125,56,,0.4011358963815789,False,14,0.19554882,0.3068756,0.2512122
E2F Targets,-0.3941280022704165,-1.9687595224567749,0.546875,0.125,56,,0.73486328125,False,15,0.20150526,0.32046595,0.2609856
E2F Targets,-0.3604323698161695,-1.800442130956167,0.609375,0.125,56,,0.7779605263157895,False,16,0.20878883,0.3290421,0.26891547
E2F Targets,-0.3169623830346115,-1.5832996038475664,0.890625,0.125,56,,0.9118303571428572,False,17,0.21349767,0.3371567,0.2753272
E2F Targets,0.3310748472758921,1.7259803733085457,0.828125,0.125,56,,0.8685213414634146,False,18,0.21726413,0.34625778,0.28176096
E2F Targets,0.4019218188123983,2.095324294740486,0.475341796875,0.125,56,,0.7299891880580357,False,19,0.2201002,0.3586161,0.28935814
E2F Targets,0.4722486159688664,2.4619564101320983,0.265869140625,0.125,56,,0.6129244290865384,False,20,0.2248327,0.37216806,0.2985004
E2F Targets,0.5176571905205697,2.6986832684272155,0.14501953125,0.125,56,,0.623583984375,False,21,0.2288458,0.38192362,0.3053847
E2F Targets,0.573240775085546,2.9884551336916862,0.030877792405959,0.0995037190209989,56,,0.23095703125,False,22,0.23128623,0.39256674,0.31192648
E2F Targets,0.5945446196275166,3.099517686035979,0.0322265625,0.125,56,,0.2771484375,False,23,0.23595017,0.40533242,0.32064128
E2F Targets,0.6013074102371737,3.134773894585512,0.0136222715220869,0.0995037190209989,56,,0.1732177734375,False,24,0.23934238,0.4282671,0.33380473
E2F Targets,0.5562777335435494,2.900022330614061,0.058575395253492,0.0995037190209989,56,,0.4197903326500265,False,25,0.24272536,0.43868947,0.34070742
E2F Targets,0.5088055004487708,2.6525370768326497,0.0966796875,0.125,56,,0.4263822115384615,False,26,0.2474077,0.45324066,0.35032418
E2F Targets,0.4756056037860384,2.4794572717455643,0.233642578125,0.125,56,,0.669775390625,False,27,0.25398275,0.4673708,0.36067677
E2F Targets,0.4476679132258785,2.3338107329669158,0.2297299527031421,0.0995037190209989,56,,0.5548300933416547,False,28,0.25795972,0.48185965,0.3699097
E2F Targets,0.445260172158773,2.321258544662589,0.185302734375,0.125,56,,0.5691441127232143,False,29,0.26505446,0.49474013,0.3798973
E2F Targets,0.433092782465299,2.2578267376916643,0.281982421875,0.125,56,,0.7132496553308824,False,30,0.27504984,0.5032464,0.38914812
E2F Targets,0.4119066390473008,2.147377792305327,0.330322265625,0.125,56,,0.6707342417410058,False,31,0.28409222,0.51037616,0.3972342
E2F Targets,0.3770216527566467,1.9655131711895115,0.33837890625,0.125,56,,0.6326214334239131,False,32,0.29051244,0.5158443,0.40317836
E2F Targets,-0.3624745891898187,-1.8106434838558751,0.459228515625,0.125,56,,0.7313639322916666,False,33,0.29691336,0.5206727,0.40879303
E2F Targets,-0.4061690731298399,-2.028907425621498,0.2255859375,0.125,56,,0.44091796875,False,34,0.3077209,0.5242823,0.4160016
E2F Targets,-0.4493991429269727,-2.244851512515332,0.0322265625,0.125,56,,0.13857421875,False,35,0.3217426,0.5282436,0.4249931
E2F Targets,-0.4549257789304766,-2.27245832349139,0.0322265625,0.125,56,,0.13857421875,False,36,0.32929364,0.53062856,0.4299611
E2F Targets,-0.5589040759613104,-2.791853700701457,0.0012255917831525,0.0995037190209989,56,,0.0131751116688897,False,37,0.33782366,0.532687,0.43525535
E2F Targets,-0.6740799257375387,-3.3671834151540265,5.008696129818261e-08,0.0995037190209989,56,,1.076869667910926e-06,False,38,0.34628305,0.5343523,0.4403177
E2F Targets,-0.7290708894769191,-3.641875857424848,1.5795169735798043e-10,0.0995037190209989,56,,3.3959614931965797e-09,False,39,0.35881686,0.5358906,0.44735372
E2F Targets,-0.7723267106311532,-3.857948578237656,1.7365948132177838e-13,0.0995037190209989,56,,7.46735769683647e-12,False,40,0.37224513,0.5374953,0.45487022
E2F Targets,-0.8011155815700319,-4.001755573617824,1.0283954876158723e-14,0.0995037190209989,56,,4.4221005967482513e-13,False,41,0.38207498,0.5389912,0.46053308
E2F Targets,-0.8053431999893443,-4.022873494629243,7.483798498904418e-16,0.0995037190209989,56,,1.60901667726445e-14,False,42,0.3951035,0.5415561,0.46832982
E2F Targets,-0.8129852745900699,-4.061047405274598,1.1066429703692539e-14,0.0995037190209989,56,,2.3792823862938964e-13,False,43,0.40581757,0.54339856,0.47460806
E2F Targets,-0.808301885742946,-4.037652806725326,4.7751675826643404e-14,0.0995037190209989,56,,1.1199938512067268e-12,False,44,0.42963493,0.544636,0.48713547
E2F Targets,-0.8134612842057258,-4.063425182185158,1.0954647585473424e-14,0.0995037190209989,56,,4.710498461753572e-13,False,45,0.43990365,0.5459433,0.4929235
E2F Targets,-0.7774178081036166,-3.8833797746279872,1.2119578645128294e-11,0.0995037190209989,56,,1.7371396058017223e-10,False,46,0.45390737,0.5468022,0.50035477
E2F Targets,-0.7460033779453177,-3.726457510387879,1.5635622566749578e-10,0.0995037190209989,56,,2.241105901234106e-09,False,47,0.4679509,0.5478123,0.5078816
