pathway,ES_Py,NES_Py,Pvalue_Py,ES_R,NES_R,Pvalue_R,Regime,log10P_Py,log10P_R
POS_PATH_2,0.8022621021496076,2.521737821423878,7.122427028667449e-09,0.802262102149607,2.55581358089848,5.572978169264821e-09,Synthetic small,8.147371991538735,8.253912658179472
NEG_PATH_2,-0.650557207081326,-2.459306497564492,1.9629174133704802e-08,-0.650557207081326,-2.44991885765508,3.21607682324461e-08,Synthetic small,7.707097972265501,7.492673585696992
POS_PATH_9,0.6794983795965567,2.32447285125236,3.309621510255555e-07,0.679498379596557,2.41944706732695,9.16703576801431e-07,Synthetic small,6.4802216694889845,6.037771074112887
POS_PATH_4,0.6473572936189601,2.3680983055781004,3.832193327664327e-07,0.64735729361896,2.34616195980312,5.33259628083304e-07,Synthetic small,6.416552589619607,6.273061294555136
POS_PATH_6,0.7776052481004639,2.412377632718398,4.87733696248187e-07,0.777605248100464,2.38596126783301,4.35031574148782e-07,Synthetic small,6.311817239099594,6.361479221250062
POS_PATH_7,0.6002554897499013,2.2219001320017475,1.1383868414532272e-06,0.600255489749902,2.27779266587233,8.6600790142807e-07,Synthetic small,5.943710132879219,6.062478145475777
POS_PATH_0,0.6228256460905173,2.272629165988947,1.252473540160959e-06,0.622825646090518,2.27976153057397,1.13580809985705e-06,Synthetic small,5.902231440297819,5.944695038530991
NEG_PATH_5,-0.7395996952597774,-2.40357991420238,1.320790278715193e-06,-0.739599695259777,-2.37985658192883,1.19879586599685e-06,Synthetic small,5.879166136229125,5.921254763372248
NEG_PATH_4,-0.7075935196000863,-2.297243645782352,1.4118792634541717e-06,-0.707593519600086,-2.33428002549372,3.19872033175362e-06,Synthetic small,5.850202440293809,5.495023729183052
NEG_PATH_6,-0.6179499339320519,-2.245073103978389,1.707918463855853e-06,-0.617949933932052,-2.26271118165544,4.27794390401464e-06,Synthetic small,5.767532866400362,5.368764914560336
POS_PATH_8,0.5970116854683533,2.227688734490947,1.9811854180727894e-06,0.597011685468353,2.25620786860968,1.87843123384777e-06,Synthetic small,5.703074877173444,5.726204699087207
NEG_PATH_1,-0.6124059998892929,-2.1900872642026106,6.341129379650618e-06,-0.612405999889293,-2.19577938855121,7.75731319354923e-06,Synthetic small,5.197833385703574,5.110288674008391
POS_PATH_5,0.6965544366267954,2.1461282760711864,2.3818783320193704e-05,0.696554436626796,2.1758965596253,2.37752493705947e-05,Synthetic small,4.623080426347,4.623874919197898
NEG_PATH_7,-0.6470722737235209,-2.139171627381883,2.59204406719755e-05,-0.647072273723521,-2.20685245439182,6.48508715706846e-06,Synthetic small,4.586357619322261,5.188084182790459
NEG_PATH_9,-0.6008734214604848,-2.0447783177149867,4.647684738401123e-05,-0.600873421460485,-2.08285341207197,0.0001292177477253,Synthetic small,4.332763338667704,3.8886778330141483
POS_PATH_1,0.5319423807084849,1.974719953932963,0.00025573614106769567,0.531942380708485,1.97748410425428,0.0001414324784792,Synthetic small,3.592207892399418,3.8494508479322236
NEG_PATH_3,-0.5924686475463057,-1.9234840317223962,0.0009389648212339677,-0.592468647546306,-1.95449462352376,0.0011693959731024,Synthetic small,3.027350678479536,2.9320384060198723
NEG_PATH_8,-0.620886273250802,-1.9047111652788329,0.0012255917831525361,-0.620886273250802,-1.93819212471302,0.0016227387280838,Synthetic small,2.911654159382061,2.7897513988956573
NULL_PATH_46,-0.4750256373991467,-1.725815027503961,0.002510847263659353,-0.475025637399147,-1.73937363254777,0.0055589634206054,Synthetic small,2.6001797048766484,2.2550061837202984
NEG_PATH_0,-0.5693674608480566,-1.7402201930291739,0.004475216005228141,-0.569367460848057,-1.79670429132484,0.0057867499158317,Synthetic small,2.3491859977526173,2.237565286000226
POS_PATH_3,0.5645242409885604,1.7513328972699882,0.007458693342046901,0.56452424098856,1.73215519962323,0.0085261035155779,Synthetic small,2.127337248136261,2.069249398879672
NULL_PATH_80,0.38331263322252596,1.5004970977474277,0.008056640625,0.383312633222526,1.48379589311319,0.0364384786476017,Synthetic small,2.093846008089887,1.4384397636623836
NULL_PATH_62,-0.3520213889979173,-1.5660809764549872,0.008056640625,-0.352021388997917,-1.56083136122653,0.0044140970099437,Synthetic small,2.093846008089887,2.3551581264484294
NULL_PATH_61,-0.3056157133570487,-1.4282739135724047,0.008056640625,-0.305615713357049,-1.42576432414976,0.0071031051151483,Synthetic small,2.093846008089887,2.148551758382839
NULL_PATH_59,0.27721294486541054,1.3262905884250646,0.008056640625,0.277212944865411,1.3261166400519,0.0269861279103569,Synthetic small,2.093846008089887,1.5688594254769526
NULL_PATH_84,-0.28178891492097397,-1.293321183456399,0.01611328125,-0.281788914920974,-1.29924934010774,0.0494296577946768,Synthetic small,1.7928160124259056,1.306012396182921
NULL_PATH_58,0.363372064138846,1.4383146738370003,0.0322265625,0.363372064138846,1.45012607314629,0.0229115005200782,Synthetic small,1.4917860167619246,1.6399464670633317
NULL_PATH_48,-0.28373606598257106,-1.2268396987296915,0.04833984375,-0.283736065982571,-1.2374734248848,0.0919324577861163,Synthetic small,1.3156947577062432,1.0365311289980588
NULL_PATH_30,-0.25531608458056415,-1.2098456176020593,0.072509765625,-0.255316084580564,-1.21183111078527,0.0742857142857143,Synthetic small,1.139603498650562,1.1290946963794575
NULL_PATH_50,-0.2862240834500729,-1.316560700329747,0.08056640625,-0.286224083450073,-1.29442672258276,0.0820945594900925,Synthetic small,1.0938460080898869,1.0856856231695013
NULL_PATH_97,0.269058763952343,1.2550267712272678,0.088623046875,0.269058763952343,1.24699463221832,0.0643153526970954,Synthetic small,1.0524533229316617,1.1916853444045772
NULL_PATH_70,-0.2704078073147803,-1.2639453706195751,0.0966796875,-0.27040780731478,-1.24949132208167,0.0755813953488372,Synthetic small,1.014664762042262,1.1215850946007122
NULL_PATH_34,-0.2522094766733139,-1.1714099820011694,0.120849609375,-0.252209476673314,-1.17856018705574,0.106666666666667,Synthetic small,0.9177547490342056,0.9719712763997551
NULL_PATH_35,-0.3328436925432483,-1.2976837153926388,0.120849609375,-0.332843692543248,-1.30542979575074,0.0791505791505792,Synthetic small,0.9177547490342056,1.1015459030254973
NULL_PATH_38,-0.25240151305780695,-1.145092005419293,0.12890625,-0.252401513057807,-1.15734139476188,0.149338374291115,Synthetic small,0.8897260254339621,0.8258285807447453
NULL_PATH_65,-0.2587753580774537,-1.208236646837151,0.136962890625,-0.258775358077454,-1.22001455011654,0.0783938814531549,Synthetic small,0.863397086711613,1.1057178321475387
NULL_PATH_66,-0.24619414681818463,-1.1584365542263595,0.14501953125,-0.246194146818185,-1.15995372944255,0.139312977099237,Synthetic small,0.8385735029865808,0.8560084268632696
NULL_PATH_31,-0.23381785839553684,-1.1044252466282891,0.153076171875,-0.233817858395537,-1.11856267679719,0.201923076923077,Synthetic small,0.8150924071370579,0.6948140445648608
NULL_PATH_92,-0.2745987599225341,-1.1252847052179547,0.193359375,-0.274598759922534,-1.12378509412708,0.237816764132554,Synthetic small,0.7136347663782808,0.6237575344370673
NULL_PATH_44,0.2480699392900129,1.1355237942908414,0.201416015625,0.248069939290013,1.14261602028497,0.162839248434238,Synthetic small,0.6959059994178493,0.7882409107240829
NULL_PATH_11,0.26806359937669183,1.1449619461904452,0.201416015625,0.268063599376692,1.1392476248703,0.184486373165618,Synthetic small,0.6959059994178493,0.7340357068899463
NULL_PATH_60,0.3354749372602087,1.2272011736341577,0.2019603979807843,0.335474937260209,1.21583327171181,0.167002012072435,Synthetic small,0.6947337821601113,0.7772782963572572
NULL_PATH_29,-0.2609697669778495,-1.0971141598673155,0.20947265625,-0.26096976697785,-1.10209954707134,0.25095785440613,Synthetic small,0.6788726601190689,0.6003992073464983
NULL_PATH_83,0.2342417988605582,1.0998954180067162,0.2255859375,0.234241798860558,1.10688833771255,0.190376569037657,Synthetic small,0.6466879767476676,0.720386504291025
NULL_PATH_75,0.28243683856320645,1.162644887974228,0.265869140625,0.282436838563206,1.15366671634969,0.189300411522634,Synthetic small,0.5753320682119993,0.7228484419167376
NULL_PATH_93,0.3190369626085295,1.1843550710626405,0.27997255171061664,0.319036962608529,1.18601289370413,0.210420841683367,Synthetic small,0.5528845444611483,0.6769112465534513
NULL_PATH_98,-0.2467638185809845,-1.065705509674263,0.2900390625,-0.246763818580984,-1.05468794725621,0.358095238095238,Synthetic small,0.5375435073225996,0.4460014541422771
NULL_PATH_24,0.2635766217823892,1.0905923901091306,0.2900390625,0.263576621782389,1.09507611380402,0.276288659793814,Synthetic small,0.5375435073225996,0.5586369402374567
NULL_PATH_2,-0.3581545338018491,-1.163944562367992,0.3099696108224684,-0.358154533801849,-1.15245643025394,0.264887063655031,Synthetic small,0.5086808819690949,0.576939250915385
NULL_PATH_95,0.21399758045017864,1.023574400716507,0.330322265625,0.213997580450178,1.0327140086351,0.347107438016529,Synthetic small,0.48106215137015135,0.45953607991854956
NULL_PATH_71,-0.3522174213787976,-1.1446499030274473,0.3399666699343202,-0.352217421378798,-1.13335220918921,0.28952772073922,Synthetic small,0.46856365876111244,0.538309848559254
NULL_PATH_25,-0.33354896249556387,-1.0828861675885486,0.3449661797862955,-0.333548962495564,-1.10034456098127,0.320408163265306,Synthetic small,0.4622234807300934,0.49429642761928005
NULL_PATH_77,-0.23297000308050936,-1.0889528664535084,0.346435546875,-0.232970003080509,-1.07649997256024,0.292635658914729,Synthetic small,0.4603775525103003,0.5336727543340415
NULL_PATH_40,0.22166784142979656,1.0247936589906557,0.3544921875,0.221667841429797,1.0315372473968,0.372631578947368,Synthetic small,0.45039333160369943,0.42872034326306047
NULL_PATH_18,0.2694323328051605,1.05235381857733,0.362548828125,0.26943233280516,1.04831721178203,0.37160751565762,Synthetic small,0.4406334943145432,0.4299155111056693
NULL_PATH_20,-0.2928379290927946,-1.0229163796084795,0.362548828125,-0.292837929092794,-1.04550735343876,0.371031746031746,Synthetic small,0.4406334943145432,0.43058892990902636
NULL_PATH_0,0.2241298100761085,1.0723209835448448,0.362548828125,0.224129810076109,1.07218034431222,0.263713080168776,Synthetic small,0.4406334943145432,0.5788683286660293
NULL_PATH_73,0.20963818553169725,1.0100578191147036,0.37060546875,0.209638185531697,1.00662080931427,0.421383647798742,Synthetic small,0.4310881764083128,0.3753223216196252
NULL_PATH_94,-0.2719153753731539,-1.0212166146399826,0.378662109375,-0.271915375373154,-1.04185944083933,0.37037037037037,Synthetic small,0.4217481501541694,0.43136376415898775
NULL_PATH_49,0.23861749467132237,1.0274434441524425,0.38671875,0.238617494671322,1.02540673561558,0.383474576271186,Synthetic small,0.41260477071429963,0.4162634237649038
NULL_PATH_12,0.22021520746296058,1.0034409736981833,0.410888671875,0.220215207462961,1.00786236361447,0.443064182194617,Synthetic small,0.3862758319919505,0.3535333574023213
NULL_PATH_15,-0.2842320995459647,-1.046328436731788,0.443115234375,-0.284232099545965,-1.0600877984787,0.349802371541502,Synthetic small,0.353483318595643,0.45617725047799246
NULL_PATH_53,-0.2546413999197347,-0.9899067969739359,0.443115234375,-0.254641399919735,-0.994365267157241,0.455769230769231,Synthetic small,0.353483318595643,0.3412549976246951
NULL_PATH_63,0.24328895129941983,0.9827026367336276,0.459228515625,0.24328895129942,0.977700558381476,0.5,Synthetic small,0.33797115241739545,0.3010299956639812
NULL_PATH_52,-0.25708563144840585,-1.0572470595338586,0.491455078125,-0.257085631448406,-1.04126832627494,0.375954198473282,Synthetic small,0.3085161730791198,0.42486506082213427
NULL_PATH_90,-0.2850857549342811,-1.006421599596559,0.491455078125,-0.285085754934281,-1.02331613309508,0.40990099009901,Synthetic small,0.3085161730791198,0.38732103266174356
NULL_PATH_23,-0.3298943016639374,-0.9534678357715828,0.515625,-0.329894301663937,-0.95715469643504,0.49079754601227,Synthetic small,0.28766603410599967,0.3090976174120142
NULL_PATH_26,-0.20733022028370413,-1.0042802011571634,0.53125,-0.207330220283704,-0.994752849523418,0.457692307692308,Synthetic small,0.27470105694163205,0.3394263865782869
NULL_PATH_86,0.20458533586447264,0.9673473926897166,0.53125,0.204585335864473,0.969847270826592,0.521829521829522,Synthetic small,0.27470105694163205,0.28247135489279346
NULL_PATH_13,-0.21152853532893884,-0.9443404756836534,0.53125,-0.211528535328939,-0.932852856694798,0.616279069767442,Synthetic small,0.27470105694163205,0.2102225816427786
NULL_PATH_64,-0.2046421631030027,-0.9393138486316326,0.53125,-0.204642163103003,-0.943030171997707,0.600378787878788,Synthetic small,0.27470105694163205,0.2215746603160607
NULL_PATH_5,-0.26113501337903366,-0.8886450861078333,0.5445544554455446,-0.261135013379034,-0.905192232177554,0.610309278350516,Synthetic small,0.2639586842883987,0.21445002754332473
NULL_PATH_91,0.23322475347929253,0.9477271873105316,0.578125,0.233224753479293,0.94396066547479,0.585774058577406,Synthetic small,0.23797824991689218,0.2322698652698995
NULL_PATH_33,-0.2047982332712341,-0.9595008565381867,0.578125,-0.204798233271234,-0.971480220525204,0.550476190476191,Synthetic small,0.23797824991689218,0.2592614606494086
NULL_PATH_87,-0.22368755772806795,-0.9418310376035403,0.578125,-0.223687557728068,-0.926267085132616,0.624758220502901,Synthetic small,0.23797824991689218,0.2042880207628399
