mode,replicate,Pathway,log10P,NES
Fixed seed,0,POS_PATH_3,10.854855577725827,2.747808253196466
Fixed seed,0,POS_PATH_4,8.947815912002735,2.5913350814507004
Fixed seed,0,NEG_PATH_0,7.900308578043137,-2.415041497842418
Fixed seed,0,POS_PATH_7,7.833361788412524,2.3660047232242474
Fixed seed,0,NEG_PATH_2,7.410346774580796,-2.476242478438818
Fixed seed,1,POS_PATH_3,10.854855577725827,2.747808253196466
Fixed seed,1,POS_PATH_4,8.947815912002735,2.5913350814507004
Fixed seed,1,NEG_PATH_0,7.900308578043137,-2.415041497842418
Fixed seed,1,POS_PATH_7,7.833361788412524,2.3660047232242474
Fixed seed,1,NEG_PATH_2,7.410346774580796,-2.476242478438818
Fixed seed,2,POS_PATH_3,10.854855577725827,2.747808253196466
Fixed seed,2,POS_PATH_4,8.947815912002735,2.5913350814507004
Fixed seed,2,NEG_PATH_0,7.900308578043137,-2.415041497842418
Fixed seed,2,POS_PATH_7,7.833361788412524,2.3660047232242474
Fixed seed,2,NEG_PATH_2,7.410346774580796,-2.476242478438818
Fixed seed,3,POS_PATH_3,10.854855577725827,2.747808253196466
Fixed seed,3,POS_PATH_4,8.947815912002735,2.5913350814507004
Fixed seed,3,NEG_PATH_0,7.900308578043137,-2.415041497842418
Fixed seed,3,POS_PATH_7,7.833361788412524,2.3660047232242474
Fixed seed,3,NEG_PATH_2,7.410346774580796,-2.476242478438818
Fixed seed,4,POS_PATH_3,10.854855577725827,2.747808253196466
Fixed seed,4,POS_PATH_4,8.947815912002735,2.5913350814507004
Fixed seed,4,NEG_PATH_0,7.900308578043137,-2.415041497842418
Fixed seed,4,POS_PATH_7,7.833361788412524,2.3660047232242474
Fixed seed,4,NEG_PATH_2,7.410346774580796,-2.476242478438818
Fixed seed,5,POS_PATH_3,10.854855577725827,2.747808253196466
Fixed seed,5,POS_PATH_4,8.947815912002735,2.5913350814507004
Fixed seed,5,NEG_PATH_0,7.900308578043137,-2.415041497842418
Fixed seed,5,POS_PATH_7,7.833361788412524,2.3660047232242474
Fixed seed,5,NEG_PATH_2,7.410346774580796,-2.476242478438818
Fixed seed,6,POS_PATH_3,10.854855577725827,2.747808253196466
Fixed seed,6,POS_PATH_4,8.947815912002735,2.5913350814507004
Fixed seed,6,NEG_PATH_0,7.900308578043137,-2.415041497842418
Fixed seed,6,POS_PATH_7,7.833361788412524,2.3660047232242474
Fixed seed,6,NEG_PATH_2,7.410346774580796,-2.476242478438818
Fixed seed,7,POS_PATH_3,10.854855577725827,2.747808253196466
Fixed seed,7,POS_PATH_4,8.947815912002735,2.5913350814507004
Fixed seed,7,NEG_PATH_0,7.900308578043137,-2.415041497842418
Fixed seed,7,POS_PATH_7,7.833361788412524,2.3660047232242474
Fixed seed,7,NEG_PATH_2,7.410346774580796,-2.476242478438818
Fixed seed,8,POS_PATH_3,10.854855577725827,2.747808253196466
Fixed seed,8,POS_PATH_4,8.947815912002735,2.5913350814507004
Fixed seed,8,NEG_PATH_0,7.900308578043137,-2.415041497842418
Fixed seed,8,POS_PATH_7,7.833361788412524,2.3660047232242474
Fixed seed,8,NEG_PATH_2,7.410346774580796,-2.476242478438818
Fixed seed,9,POS_PATH_3,10.854855577725827,2.747808253196466
Fixed seed,9,POS_PATH_4,8.947815912002735,2.5913350814507004
Fixed seed,9,NEG_PATH_0,7.900308578043137,-2.415041497842418
Fixed seed,9,POS_PATH_7,7.833361788412524,2.3660047232242474
Fixed seed,9,NEG_PATH_2,7.410346774580796,-2.476242478438818
Fixed seed,10,POS_PATH_3,10.854855577725827,2.747808253196466
Fixed seed,10,POS_PATH_4,8.947815912002735,2.5913350814507004
Fixed seed,10,NEG_PATH_0,7.900308578043137,-2.415041497842418
Fixed seed,10,POS_PATH_7,7.833361788412524,2.3660047232242474
Fixed seed,10,NEG_PATH_2,7.410346774580796,-2.476242478438818
Fixed seed,11,POS_PATH_3,10.854855577725827,2.747808253196466
Fixed seed,11,POS_PATH_4,8.947815912002735,2.5913350814507004
Fixed seed,11,NEG_PATH_0,7.900308578043137,-2.415041497842418
Fixed seed,11,POS_PATH_7,7.833361788412524,2.3660047232242474
Fixed seed,11,NEG_PATH_2,7.410346774580796,-2.476242478438818
Varying seed,42,POS_PATH_3,10.854855577725827,2.747808253196466
Varying seed,42,POS_PATH_4,8.947815912002735,2.5913350814507004
Varying seed,42,NEG_PATH_0,7.900308578043137,-2.415041497842418
Varying seed,42,POS_PATH_7,7.833361788412524,2.3660047232242474
Varying seed,42,NEG_PATH_2,7.410346774580796,-2.476242478438818
Varying seed,43,POS_PATH_3,10.65821953292439,2.648487232645994
Varying seed,43,POS_PATH_4,8.771257015901869,2.4976698686111485
Varying seed,43,NEG_PATH_0,7.578003275886044,-2.4534550144530374
Varying seed,43,NEG_PATH_2,7.468858806460975,-2.517367978005065
Varying seed,43,POS_PATH_7,7.3134367615727385,2.460833978806563
Varying seed,44,POS_PATH_3,10.923936496869127,2.653399900602271
Varying seed,44,POS_PATH_4,8.877712346816155,2.5023027860659273
Varying seed,44,NEG_PATH_0,7.584252225163045,-2.4509161275679023
Varying seed,44,NEG_PATH_2,7.348198867831951,-2.445869290753611
Varying seed,44,POS_PATH_7,6.838372844838394,2.4993419521646594
Varying seed,45,POS_PATH_3,10.78427450344012,2.6240297149092613
Varying seed,45,POS_PATH_4,8.803926132655237,2.474605077375198
Varying seed,45,NEG_PATH_0,7.971664486578805,-2.3790106294977873
Varying seed,45,POS_PATH_7,7.520011328908357,2.437813225172979
Varying seed,45,NEG_PATH_2,7.4988220298384185,-2.4194452651809337
Varying seed,46,POS_PATH_3,10.598221603249105,2.673745226427093
Varying seed,46,POS_PATH_4,8.670586854020504,2.521489553007207
Varying seed,46,NEG_PATH_0,7.571842967181225,-2.426563084191772
Varying seed,46,NEG_PATH_2,7.362922124652657,-2.521912376982627
Varying seed,46,POS_PATH_7,7.217865099336945,2.5182304068620307
Varying seed,47,POS_PATH_3,10.90921324004842,2.6549242671143296
Varying seed,47,POS_PATH_4,8.723615381466642,2.503740347953694
Varying seed,47,NEG_PATH_2,7.719852513585006,-2.388142753513166
Varying seed,47,NEG_PATH_0,7.385987428721351,-2.388899015375911
Varying seed,47,POS_PATH_7,6.740456033347928,2.4744161176040453
Varying seed,48,POS_PATH_3,11.092021085426289,2.6451147435647733
Varying seed,48,POS_PATH_4,8.846678113076186,2.4944894249765497
Varying seed,48,NEG_PATH_0,7.3781620912093935,-2.4298967488494125
Varying seed,48,NEG_PATH_2,7.293841205509358,-2.4309415236546372
Varying seed,48,POS_PATH_7,7.066170926967952,2.4725525628412277
Varying seed,49,POS_PATH_3,10.979794314334127,2.678022985102253
Varying seed,49,POS_PATH_4,8.987779211947755,2.5255237159121435
Varying seed,49,NEG_PATH_0,7.715531139802364,-2.451722569561327
Varying seed,49,NEG_PATH_2,7.715531139802364,-2.4727719767099754
Varying seed,49,POS_PATH_7,7.257118398484618,2.44769124858568
Varying seed,50,POS_PATH_3,11.405805622409774,2.7205020859808626
Varying seed,50,POS_PATH_4,9.166494614829585,2.5655838562829913
Varying seed,50,NEG_PATH_0,7.652249304258156,-2.4568850798556667
Varying seed,50,POS_PATH_7,7.402074248614805,2.502335634457317
Varying seed,50,NEG_PATH_2,7.176960111570682,-2.4648323001343444
