Pathway,ES,NES,P-value,log2err,Size,n_levels,padj,pval_capped,mode,window_start,window_cells,pt_mid
E2F Targets,-0.5567073772359222,-2.565985023373843,0.03862113972757719,0.09950371902099892,56,,0.2767848347143032,False,Full windows only,0,500,0.12135717272758484
heme Metabolism,-0.4445870950108959,-2.691268328115365,0.265869140625,0.125,75,,0.5196533203125,False,Full windows only,0,500,0.12135717272758484
E2F Targets,-0.5567347601321138,-2.566111237080356,0.05342590995648178,0.09950371902099892,56,,0.31978665865384615,False,Full windows only,50,500,0.17397071421146393
heme Metabolism,-0.44934377385421026,-2.7200624592579135,0.17724609375,0.125,75,,0.39840087890625,False,Full windows only,50,500,0.17397071421146393
E2F Targets,-0.5585618872646084,-2.5745328622455537,0.03604639707907205,0.09950371902099892,56,,0.30999901488001963,False,Full windows only,100,500,0.20416328310966492
heme Metabolism,-0.4387950753481922,-2.65620685366192,0.217529296875,0.125,75,,0.485009765625,False,Full windows only,100,500,0.20416328310966492
E2F Targets,-0.5483025112970247,-2.527245173670834,0.064453125,0.125,56,,0.346435546875,False,Full windows only,150,500,0.22713887691497803
heme Metabolism,-0.42723998656917334,-2.586259154305571,0.265869140625,0.125,75,,0.43970665564903844,False,Full windows only,150,500,0.22713887691497803
E2F Targets,-0.47947511091746886,-2.2100047601369366,0.217529296875,0.125,56,,0.56689453125,False,Full windows only,200,500,0.2497817575931549
heme Metabolism,-0.411389252308433,-2.4903081481427445,0.330322265625,0.125,75,,0.591827392578125,False,Full windows only,200,500,0.2497817575931549
E2F Targets,-0.38970462583399057,-1.7962331277060761,0.475341796875,0.125,56,,0.7048171470905172,False,Full windows only,250,500,0.2669384181499481
heme Metabolism,-0.4144771931142255,-2.5090007224054336,0.507568359375,0.125,75,,0.712594696969697,False,Full windows only,250,500,0.2669384181499481
heme Metabolism,-0.40368891952481173,-2.4436948704091646,0.410888671875,0.125,75,,0.6543782552083334,False,Full windows only,300,500,0.2868366613984108
E2F Targets,0.35713776590494783,1.9089160601458117,0.625,0.125,56,,0.7465277777777778,False,Full windows only,300,500,0.2868366613984108
E2F Targets,0.5029955420250372,2.6885318776645195,0.12890625,0.125,56,,0.6158854166666666,False,Full windows only,350,500,0.30818742513656616
heme Metabolism,-0.3688535206896276,-2.232821890436365,0.625,0.125,75,,0.7870535714285715,False,Full windows only,350,500,0.30818742513656616
E2F Targets,0.5122558574410289,2.7380286447588937,0.11279296875,0.125,56,,0.649566650390625,False,Full windows only,400,500,0.33176108449697495
heme Metabolism,0.3684969544479987,2.2533821087426813,0.578125,0.125,75,,0.77685546875,False,Full windows only,400,500,0.33176108449697495
E2F Targets,0.44826182355779215,2.3959778993730407,0.1611328125,0.125,56,,0.517226519240494,False,Full windows only,450,500,0.35515765100717545
heme Metabolism,0.359264962935701,2.1969278986039877,0.609375,0.125,75,,0.7706801470588235,False,Full windows only,450,500,0.35515765100717545
E2F Targets,0.4031511594104921,2.154859542549518,0.443115234375,0.125,56,,0.762158203125,False,Full windows only,500,500,0.3729858919978142
heme Metabolism,-0.3786874811074795,-2.2923508927612217,0.515625,0.125,75,,0.7645474137931034,False,Full windows only,500,500,0.3729858919978142
heme Metabolism,-0.4055910376753031,-2.455209172988337,0.2255859375,0.125,75,,0.5705997242647058,False,Full windows only,550,500,0.38665492832660675
E2F Targets,0.36633042269592364,1.9580511891043453,0.53125,0.125,56,,0.7585685483870968,False,Full windows only,550,500,0.38665492832660675
heme Metabolism,-0.44820579234163205,-2.7131737896650465,0.072509765625,0.125,75,,0.207861328125,False,Full windows only,600,500,0.4016467183828354
E2F Targets,-0.37890843119878603,-1.7464711254834544,0.4189453125,0.125,56,,0.7052437918526786,False,Full windows only,600,500,0.4016467183828354
E2F Targets,-0.45633412654797867,-2.103342945068019,0.08056640625,0.125,56,,0.254052734375,False,Full windows only,650,500,0.4135597497224808
heme Metabolism,-0.43611456223274603,-2.639980606585357,0.08795775253643315,0.09950371902099892,75,,0.254052734375,False,Full windows only,650,500,0.4135597497224808
E2F Targets,-0.591335115850267,-2.725591779653737,0.00019044180717807122,0.09950371902099892,56,,0.004094498854328531,False,Full windows only,700,500,0.4296189546585083
heme Metabolism,-0.5124045250889154,-3.1017950926375772,0.00359888107791174,0.09950371902099892,75,,0.02579198105836747,False,Full windows only,700,500,0.4296189546585083
E2F Targets,-0.6899902479512118,-3.180314676818998,4.63491283654824e-08,0.09950371902099892,56,,9.965062598578716e-07,False,Full windows only,750,500,0.4428880512714386
heme Metabolism,-0.5912707304748342,-3.579204633075459,3.652936196811698e-06,0.09950371902099892,75,,5.235875215430101e-05,False,Full windows only,750,500,0.4428880512714386
E2F Targets,-0.7996498760959657,-3.685759682569187,2.7076563573524812e-15,0.09950371902099892,56,,1.164292233661567e-13,False,Full windows only,800,500,0.45909422636032104
heme Metabolism,-0.6889558586482966,-4.170532844198379,4.1087345217332487e-11,0.09950371902099892,75,,5.889186147817657e-10,False,Full windows only,800,500,0.45909422636032104
E2F Targets,-0.8158317641720907,-3.760345513745719,2.323542389908501e-14,0.09950371902099892,56,,4.995616138303277e-13,False,Full windows only,850,500,0.4753958731889725
heme Metabolism,-0.7397261076866449,-4.477866018689394,2.4331548210331705e-12,0.09950371902099892,75,,3.487521910147545e-11,False,Full windows only,850,500,0.4753958731889725
E2F Targets,-0.8031848233611819,-3.7020530210659697,1.2686865161327724e-12,0.09950371902099892,56,,3.5822915272711194e-11,False,Full windows only,900,500,0.4949343651533127
heme Metabolism,-0.7504178931387561,-4.542587788352019,7.364489725458902e-12,0.09950371902099892,75,,1.0555768606491093e-10,False,Full windows only,900,500,0.4949343651533127
heme Metabolism,-0.7666292284475756,-4.640721660798351,2.9854374050912074e-12,0.09950371902099892,75,,1.2837380841892192e-10,False,Full windows only,950,500,0.5151735097169876
E2F Targets,-0.7307998232125636,-3.368414858732879,1.0807467534430783e-07,0.09950371902099892,56,,1.5490703466017457e-06,False,Full windows only,950,500,0.5151735097169876
heme Metabolism,-0.7679755208258613,-4.648871321638089,2.036444795864719e-12,0.09950371902099892,75,,8.756712622218292e-11,False,Full windows only,1000,500,0.5286438167095184
E2F Targets,-0.7310575327586156,-3.369602697914808,3.737092767763029e-08,0.09950371902099892,56,,5.356499633793675e-07,False,Full windows only,1000,500,0.5286438167095184
heme Metabolism,-0.7765829548614352,-4.700975655898432,1.0416584027195395e-12,0.09950371902099892,75,,4.47913113169402e-11,False,Full windows only,1050,500,0.5367359519004822
E2F Targets,-0.7289423600893075,-3.359853408407918,9.771135031129203e-08,0.09950371902099892,56,,1.4005293544618523e-06,False,Full windows only,1050,500,0.5367359519004822
heme Metabolism,-0.7504774438620435,-4.542948273344271,1.4199698045313395e-10,0.09950371902099892,75,,6.10587015948476e-09,False,Full windows only,1100,500,0.5427502393722534
E2F Targets,-0.7374094042957009,-3.3988798512291396,1.0067230032072511e-07,0.09950371902099892,56,,1.2413782914548237e-06,False,Full windows only,1100,500,0.5427502393722534
heme Metabolism,-0.7396357238997329,-4.477318888496409,6.691699890812218e-10,0.09950371902099892,75,,2.8774309530492535e-08,False,Full windows only,1150,500,0.5461302995681763
E2F Targets,-0.7354527380114146,-3.389861152022839,1.7005142309077508e-07,0.09950371902099892,56,,2.437403730967776e-06,False,Full windows only,1150,500,0.5461302995681763
heme Metabolism,-0.7281576389730071,-4.407837325092149,2.012369589531835e-09,0.09950371902099892,75,,4.326594617493445e-08,False,Full windows only,1200,500,0.5489873886108398
E2F Targets,-0.7238151744104699,-3.336221097786716,3.658002721861403e-07,0.09950371902099892,56,,5.243137234668011e-06,False,Full windows only,1200,500,0.5489873886108398
heme Metabolism,-0.7478461539430897,-4.527019994497589,1.563562256674958e-10,0.09950371902099892,75,,6.723317703702319e-09,False,Full windows only,1250,500,0.5523034036159515
E2F Targets,-0.7089375282775767,-3.2676468005506987,6.669337050938098e-07,0.09950371902099892,56,,9.559383106344608e-06,False,Full windows only,1250,500,0.5523034036159515
heme Metabolism,-0.731761132442223,-4.429650751422109,7.311301732554089e-10,0.09950371902099892,75,,3.143859744998258e-08,False,Full windows only,1300,500,0.5546554028987885
