example_type,gene,pathway,series,pt,value,padj
Monotonic up,HBB,heme Metabolism,expression_raw,0.0,0.822285743775653,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.0,0.40670079293263717,
Monotonic up,HBB,heme Metabolism,expression_raw,0.030778836458921432,0.6228611269141439,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.030778836458921432,0.4112859546236,
Monotonic up,HBB,heme Metabolism,expression_raw,0.03562526777386665,-0.5745939411707667,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.03562526777386665,0.4133165542580456,
Monotonic up,HBB,heme Metabolism,expression_raw,0.04054934158921242,0.15608308894423062,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.04054934158921242,0.4163888666979187,
Monotonic up,HBB,heme Metabolism,expression_raw,0.040552668273448944,1.0485284343874388,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.040552668273448944,0.41311550104126493,
Monotonic up,HBB,heme Metabolism,expression_raw,0.04213719069957733,-0.23081065684652524,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.04213719069957733,0.4065057585566911,
Monotonic up,HBB,heme Metabolism,expression_raw,0.043860480189323425,-0.002330764818312586,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.043860480189323425,0.4157790293458695,
Monotonic up,HBB,heme Metabolism,expression_raw,0.045509353280067444,1.1247361478307154,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.045509353280067444,0.40465487968185576,
Monotonic up,HBB,heme Metabolism,expression_raw,0.04716192185878754,0.3442814819544356,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.04716192185878754,0.3895788943946734,
Monotonic up,HBB,heme Metabolism,expression_raw,0.04831886664032936,0.7943327911010699,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.04831886664032936,0.39525411000799276,
Monotonic up,HBB,heme Metabolism,expression_raw,0.05029779672622681,0.55526554732609,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.05029779672622681,0.3989264357111566,
Monotonic up,HBB,heme Metabolism,expression_raw,0.05416977033019066,-0.9514859679772474,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.05416977033019066,0.3733044560335197,
Monotonic up,HBB,heme Metabolism,expression_raw,0.05504210293292999,0.4190697349544185,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.05504210293292999,0.38356186197780673,
Monotonic up,HBB,heme Metabolism,expression_raw,0.057438213378190994,0.12167208917456608,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.057438213378190994,0.3715136700792656,
Monotonic up,HBB,heme Metabolism,expression_raw,0.05822763964533806,0.43481785572788223,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.05822763964533806,0.37439759888848667,
Monotonic up,HBB,heme Metabolism,expression_raw,0.059858739376068115,-0.05340376356373398,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.059858739376068115,0.3761901274235883,
Monotonic up,HBB,heme Metabolism,expression_raw,0.05997040495276451,0.890979815687335,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.05997040495276451,0.3615006746916283,
Monotonic up,HBB,heme Metabolism,expression_raw,0.06023329496383667,0.8519523138337479,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.06023329496383667,0.35816160896183885,
Monotonic up,HBB,heme Metabolism,expression_raw,0.060707494616508484,0.9577189696004822,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.060707494616508484,0.3669130837509535,
Monotonic up,HBB,heme Metabolism,expression_raw,0.06267852336168289,0.7227071082252842,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.06267852336168289,0.3747213307771011,
Monotonic up,HBB,heme Metabolism,expression_raw,0.06430394947528839,1.121306614962596,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.06430394947528839,0.3713199819014516,
Monotonic up,HBB,heme Metabolism,expression_raw,0.06607994437217712,0.7393273583644735,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.06607994437217712,0.37788323819694186,
Monotonic up,HBB,heme Metabolism,expression_raw,0.06662911176681519,1.0853037971674788,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.06662911176681519,0.3860468038797504,
Monotonic up,HBB,heme Metabolism,expression_raw,0.06755504757165909,-0.5270975537635738,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.06755504757165909,0.3889581457437883,
Monotonic up,HBB,heme Metabolism,expression_raw,0.0699097141623497,0.4463083612051639,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.0699097141623497,0.39566626024530904,
Monotonic up,HBB,heme Metabolism,expression_raw,0.07098056375980377,0.38112693681788684,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.07098056375980377,0.40099951954485336,
Monotonic up,HBB,heme Metabolism,expression_raw,0.0721331313252449,-1.9847078158006455,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.0721331313252449,0.397741828476254,
Monotonic up,HBB,heme Metabolism,expression_raw,0.07219108939170837,0.32444772045009973,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.07219108939170837,0.3875900970019753,
Monotonic up,HBB,heme Metabolism,expression_raw,0.07233654707670212,-1.2348027653283897,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.07233654707670212,0.3947737645478816,
Monotonic up,HBB,heme Metabolism,expression_raw,0.07312644273042679,0.8386168161936641,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.07312644273042679,0.3949688447449213,
Monotonic up,HBB,heme Metabolism,expression_raw,0.07445211708545685,0.953898376529286,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.07445211708545685,0.3752638359374571,
Monotonic up,HBB,heme Metabolism,expression_raw,0.07455075532197952,-0.39489584109580544,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.07455075532197952,0.37816839117824913,
Monotonic up,HBB,heme Metabolism,expression_raw,0.07730504870414734,0.6526851168972776,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.07730504870414734,0.3863338930662139,
