family_id	trajectory	contrast	effect_type	delta_auc	bootstrap_mean	bootstrap_sd	ci_lower	ci_upper	direction_stability	bootstrap_p	n_blocks	claim_stability	block_source
CELL_CYCLE_RIBOSOME_MYC_E2F_FAMILY	erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	pairwise_contrast	0.11852827812827854	0.10382311815198693	0.08530835395051947	-0.060983551452556524	0.25734623298290393	0.876	0.12487512487512488	22	False	condition-matched day x pseudotime_bin x coarse_state block means
CELL_CYCLE_RIBOSOME_MYC_E2F_FAMILY	erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	pairwise_contrast	0.1746671831775029	0.1772973936339543	0.03804369022196901	0.10849755594179489	0.254279595477099	1.0	0.000999000999000999	22	True	condition-matched day x pseudotime_bin x coarse_state block means
CELL_CYCLE_RIBOSOME_MYC_E2F_FAMILY	erythroid	T21_GATA1s_vs_T21_wtGATA1	pairwise_contrast	-0.3481855305487997	-0.35010942382624916	0.031957093130581586	-0.41907836115620223	-0.2917105503546617	1.0	0.000999000999000999	21	True	condition-matched day x pseudotime_bin x coarse_state block means
CELL_CYCLE_RIBOSOME_MYC_E2F_FAMILY	erythroid	NA	T21	0.24195463508533432	0.23764073068184913	0.04139158473158403	0.1618516269563324	0.3192071595381133	1.0	0.000999000999000999	21	True	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
CELL_CYCLE_RIBOSOME_MYC_E2F_FAMILY	erythroid	NA	GATA1s	0.10326424594669671	0.09797755487046168	0.06439407605214849	-0.03346127640427354	0.2173713101529106	0.936	0.06493506493506493	21	False	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
CELL_CYCLE_RIBOSOME_MYC_E2F_FAMILY	erythroid	NA	interaction	-0.45321637591938596	-0.4498792071276503	0.06476711736732468	-0.5754707662197632	-0.3192783757878485	1.0	0.000999000999000999	21	True	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
CELL_CYCLE_RIBOSOME_MYC_E2F_FAMILY	mk	Euploid_GATA1s_vs_Euploid_wtGATA1	pairwise_contrast	0.06620518011967028	0.06460481922603042	0.06883913645748972	-0.07195036624112205	0.20302954381554367	0.831	0.16983016983016982	21	False	condition-matched day x pseudotime_bin x coarse_state block means
CELL_CYCLE_RIBOSOME_MYC_E2F_FAMILY	mk	T21_wtGATA1_vs_Euploid_wtGATA1	pairwise_contrast	0.16839694317064058	0.16937866645080038	0.03959564655325024	0.09740641776797149	0.24995046940219684	1.0	0.000999000999000999	21	True	condition-matched day x pseudotime_bin x coarse_state block means
CELL_CYCLE_RIBOSOME_MYC_E2F_FAMILY	mk	T21_GATA1s_vs_T21_wtGATA1	pairwise_contrast	-0.2876689857781015	-0.2919156440324447	0.042605359610633324	-0.37548716069417154	-0.20617662024096436	1.0	0.000999000999000999	21	True	condition-matched day x pseudotime_bin x coarse_state block means
CELL_CYCLE_RIBOSOME_MYC_E2F_FAMILY	mk	NA	T21	0.19576509672458964	0.19718695406216902	0.039036460352950025	0.12604435842662426	0.27685180586750036	1.0	0.000999000999000999	21	True	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
CELL_CYCLE_RIBOSOME_MYC_E2F_FAMILY	mk	NA	GATA1s	0.053787726509716166	0.05088750216697737	0.06379816116482326	-0.0713988791746581	0.1698113141738803	0.785	0.21578421578421578	21	False	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
CELL_CYCLE_RIBOSOME_MYC_E2F_FAMILY	mk	NA	interaction	-0.3346580474774341	-0.3372471470491545	0.06475653489350361	-0.4605915130817766	-0.21944883309442087	1.0	0.000999000999000999	21	True	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
CELL_CYCLE_RIBOSOME_MYC_E2F_FAMILY	myeloid	Euploid_GATA1s_vs_Euploid_wtGATA1	pairwise_contrast	0.06223726926116932	0.06329553182285931	0.06737488966584862	-0.06663641223352616	0.19042771883625392	0.82	0.18081918081918083	23	False	condition-matched day x pseudotime_bin x coarse_state block means
CELL_CYCLE_RIBOSOME_MYC_E2F_FAMILY	myeloid	T21_wtGATA1_vs_Euploid_wtGATA1	pairwise_contrast	0.19342223296233058	0.1941277606250847	0.04154592441670908	0.11516764351414267	0.2805785789318194	1.0	0.000999000999000999	23	True	condition-matched day x pseudotime_bin x coarse_state block means
CELL_CYCLE_RIBOSOME_MYC_E2F_FAMILY	myeloid	T21_GATA1s_vs_T21_wtGATA1	pairwise_contrast	-0.29329544575504707	-0.29944835915970525	0.05167608542069048	-0.3913270450183952	-0.19463751016353292	1.0	0.000999000999000999	22	True	condition-matched day x pseudotime_bin x coarse_state block means
CELL_CYCLE_RIBOSOME_MYC_E2F_FAMILY	myeloid	NA	T21	0.21776047829410472	0.21793763647843017	0.04136279250538458	0.13947418255710564	0.30122791845781877	1.0	0.000999000999000999	22	True	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
CELL_CYCLE_RIBOSOME_MYC_E2F_FAMILY	myeloid	NA	GATA1s	0.06853130997253601	0.06648996573326212	0.05796929741694077	-0.05691815807374334	0.17026292042172997	0.872	0.12887112887112886	22	False	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
CELL_CYCLE_RIBOSOME_MYC_E2F_FAMILY	myeloid	NA	interaction	-0.3724783270985165	-0.36793873957361484	0.0609344641502057	-0.4906789371119219	-0.26078967225535354	1.0	0.000999000999000999	22	True	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
ERYTHROID_EVENT_LOSS_FAMILY	erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	pairwise_contrast	-0.08054490983560775	-0.0889687761924146	0.0745763156411214	-0.25146490699270685	0.03907774279763774	0.892	0.1088911088911089	22	False	condition-matched day x pseudotime_bin x coarse_state block means
ERYTHROID_EVENT_LOSS_FAMILY	erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	pairwise_contrast	0.034022089231377214	0.03368553077376956	0.02416702510947069	-0.012150064842905565	0.08330845720322987	0.917	0.08391608391608392	22	False	condition-matched day x pseudotime_bin x coarse_state block means
ERYTHROID_EVENT_LOSS_FAMILY	erythroid	T21_GATA1s_vs_T21_wtGATA1	pairwise_contrast	-0.2513105172760807	-0.2516124013476356	0.04531820100322838	-0.3393662566536116	-0.16039731756335154	1.0	0.000999000999000999	21	True	condition-matched day x pseudotime_bin x coarse_state block means
ERYTHROID_EVENT_LOSS_FAMILY	erythroid	NA	T21	0.05872750904741571	0.05546166705406613	0.03095405539313248	-0.003820211548728081	0.11620153725487427	0.962	0.03896103896103896	21	False	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
ERYTHROID_EVENT_LOSS_FAMILY	erythroid	NA	GATA1s	-0.10672156406283397	-0.1121219953292518	0.06702444785592647	-0.25583370639651176	0.004577740125815228	0.968	0.03296703296703297	21	False	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
ERYTHROID_EVENT_LOSS_FAMILY	erythroid	NA	interaction	-0.09690065697453126	-0.09263141745678437	0.05929897059163623	-0.20866944623992187	0.02821057626636987	0.937	0.06393606393606394	21	False	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
ERYTHROID_EVENT_LOSS_FAMILY	mk	Euploid_GATA1s_vs_Euploid_wtGATA1	pairwise_contrast	-0.17817892922996684	-0.17938480546149083	0.08610976408609387	-0.36114855279905034	-0.02531416252919774	0.991	0.00999000999000999	21	True	condition-matched day x pseudotime_bin x coarse_state block means
ERYTHROID_EVENT_LOSS_FAMILY	mk	T21_wtGATA1_vs_Euploid_wtGATA1	pairwise_contrast	-0.0011951575688762123	-0.00024778121172718806	0.04289356512990225	-0.08813402914302976	0.08095656815967085	0.491	0.5094905094905094	21	False	condition-matched day x pseudotime_bin x coarse_state block means
ERYTHROID_EVENT_LOSS_FAMILY	mk	T21_GATA1s_vs_T21_wtGATA1	pairwise_contrast	-0.20720294135037753	-0.20378374427601287	0.038605596116468605	-0.28549233419015363	-0.1392822553484481	1.0	0.000999000999000999	21	True	condition-matched day x pseudotime_bin x coarse_state block means
ERYTHROID_EVENT_LOSS_FAMILY	mk	NA	T21	-0.006315424041797348	-0.00841011999653724	0.05885541734367569	-0.12940164702714682	0.09344918746988866	0.525	0.4755244755244755	21	False	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
ERYTHROID_EVENT_LOSS_FAMILY	mk	NA	GATA1s	-0.2094913974053226	-0.20823651009460156	0.08943993813774366	-0.3957866388398167	-0.04907214525861822	0.996	0.004995004995004995	21	True	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
ERYTHROID_EVENT_LOSS_FAMILY	mk	NA	interaction	0.0247430692190678	0.02380637231105289	0.0833687708985694	-0.1229135059531618	0.20349918857927254	0.595	0.40559440559440557	21	False	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
ERYTHROID_EVENT_LOSS_FAMILY	myeloid	Euploid_GATA1s_vs_Euploid_wtGATA1	pairwise_contrast	-0.11474700658298616	-0.12111185517945651	0.06423157309492926	-0.25082294813379297	0.0012100829304241931	0.973	0.027972027972027972	23	False	condition-matched day x pseudotime_bin x coarse_state block means
ERYTHROID_EVENT_LOSS_FAMILY	myeloid	T21_wtGATA1_vs_Euploid_wtGATA1	pairwise_contrast	0.020244694432280722	0.02097535403083736	0.03266695331534375	-0.03736473530415357	0.09086748236940459	0.728	0.2727272727272727	23	False	condition-matched day x pseudotime_bin x coarse_state block means
ERYTHROID_EVENT_LOSS_FAMILY	myeloid	T21_GATA1s_vs_T21_wtGATA1	pairwise_contrast	-0.16291870159048794	-0.16699834961015012	0.04584425651777207	-0.26585129136579316	-0.085726000737456	1.0	0.000999000999000999	22	True	condition-matched day x pseudotime_bin x coarse_state block means
ERYTHROID_EVENT_LOSS_FAMILY	myeloid	NA	T21	0.025599519448558396	0.025410069923183735	0.04004195285829582	-0.052255141013285114	0.10369119287901635	0.727	0.27372627372627373	22	False	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
ERYTHROID_EVENT_LOSS_FAMILY	myeloid	NA	GATA1s	-0.13715035219574778	-0.1434353431512694	0.06569297699968231	-0.27829437248639866	-0.021095600715150074	0.992	0.008991008991008992	22	True	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
ERYTHROID_EVENT_LOSS_FAMILY	myeloid	NA	interaction	-0.016283035958771553	-0.013129091910301408	0.06385665803489042	-0.14342963343011048	0.11047489718772927	0.58	0.4205794205794206	22	False	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
HSPC_MYELOID_MK_CONTEXT_FAMILY	erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	pairwise_contrast	0.12312168342611643	0.1128182507656611	0.07160829660701085	-0.01855440835293633	0.24446513422726995	0.935	0.06593406593406594	22	False	condition-matched day x pseudotime_bin x coarse_state block means
HSPC_MYELOID_MK_CONTEXT_FAMILY	erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	pairwise_contrast	0.006587264779382163	0.006669695560726204	0.026949260366532387	-0.044390814307849316	0.06484374778301565	0.605	0.3956043956043956	22	False	condition-matched day x pseudotime_bin x coarse_state block means
HSPC_MYELOID_MK_CONTEXT_FAMILY	erythroid	T21_GATA1s_vs_T21_wtGATA1	pairwise_contrast	-0.09290428265142456	-0.09535043345110025	0.025217785479890516	-0.1478349751883333	-0.0441297851375556	1.0	0.000999000999000999	21	True	condition-matched day x pseudotime_bin x coarse_state block means
HSPC_MYELOID_MK_CONTEXT_FAMILY	erythroid	NA	T21	0.04765288915977565	0.04536313881303662	0.032149183468497745	-0.02067331921219947	0.1067521750624439	0.918	0.08291708291708291	21	False	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
HSPC_MYELOID_MK_CONTEXT_FAMILY	erythroid	NA	GATA1s	0.10759066067405688	0.10293235486609335	0.05055612876949987	0.007830084958747282	0.202169898319173	0.986	0.014985014985014986	21	True	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
HSPC_MYELOID_MK_CONTEXT_FAMILY	erythroid	NA	interaction	-0.23991055153704727	-0.23523432380077514	0.05948278514316362	-0.3615021434283269	-0.1376045243844479	1.0	0.000999000999000999	21	True	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
HSPC_MYELOID_MK_CONTEXT_FAMILY	mk	Euploid_GATA1s_vs_Euploid_wtGATA1	pairwise_contrast	0.07098263506325933	0.07339477867352454	0.061987840592773895	-0.04115669543982338	0.19230283301087842	0.876	0.12487512487512488	21	False	condition-matched day x pseudotime_bin x coarse_state block means
HSPC_MYELOID_MK_CONTEXT_FAMILY	mk	T21_wtGATA1_vs_Euploid_wtGATA1	pairwise_contrast	-0.006590712909629139	-0.002875499407475161	0.028944678741741982	-0.05182568968872213	0.059184600768169726	0.567	0.43356643356643354	21	False	condition-matched day x pseudotime_bin x coarse_state block means
HSPC_MYELOID_MK_CONTEXT_FAMILY	mk	T21_GATA1s_vs_T21_wtGATA1	pairwise_contrast	-0.11837835985569002	-0.11919806805980147	0.028366213789403717	-0.1691346611909893	-0.06045980779527386	1.0	0.000999000999000999	21	True	condition-matched day x pseudotime_bin x coarse_state block means
HSPC_MYELOID_MK_CONTEXT_FAMILY	mk	NA	T21	0.00996279182820804	0.011837381914455094	0.0352417408641526	-0.05196939585310228	0.07796933957975992	0.611	0.38961038961038963	21	False	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
HSPC_MYELOID_MK_CONTEXT_FAMILY	mk	NA	GATA1s	0.059255786372908945	0.06282720462278625	0.05899769251062264	-0.05058393494361712	0.1824289025980349	0.853	0.14785214785214784	21	False	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
HSPC_MYELOID_MK_CONTEXT_FAMILY	mk	NA	interaction	-0.19621392053668943	-0.20024558880993765	0.04688612091134211	-0.2978356514230743	-0.11712331350890522	1.0	0.000999000999000999	21	True	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
HSPC_MYELOID_MK_CONTEXT_FAMILY	myeloid	Euploid_GATA1s_vs_Euploid_wtGATA1	pairwise_contrast	0.06438954013865515	0.06294336321188665	0.056093829854826874	-0.04929408003559406	0.1702600920535954	0.87	0.13086913086913088	23	False	condition-matched day x pseudotime_bin x coarse_state block means
HSPC_MYELOID_MK_CONTEXT_FAMILY	myeloid	T21_wtGATA1_vs_Euploid_wtGATA1	pairwise_contrast	0.013637994694689931	0.015101405314338186	0.025586170244892723	-0.032304955174522414	0.06608925779066	0.713	0.28771228771228774	23	False	condition-matched day x pseudotime_bin x coarse_state block means
HSPC_MYELOID_MK_CONTEXT_FAMILY	myeloid	T21_GATA1s_vs_T21_wtGATA1	pairwise_contrast	-0.11134253962167191	-0.11132785014919544	0.020225870782763288	-0.14678412110726946	-0.07022088745538628	1.0	0.000999000999000999	22	True	condition-matched day x pseudotime_bin x coarse_state block means
HSPC_MYELOID_MK_CONTEXT_FAMILY	myeloid	NA	T21	0.025694892599333996	0.0248659786643772	0.02777694144255426	-0.0326920699109969	0.08093906803432625	0.809	0.1918081918081918	22	False	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
HSPC_MYELOID_MK_CONTEXT_FAMILY	myeloid	NA	GATA1s	0.07298905860672783	0.07212562797319713	0.04853377685346586	-0.022279785030132823	0.1678020210454049	0.926	0.07492507492507493	22	False	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
HSPC_MYELOID_MK_CONTEXT_FAMILY	myeloid	NA	interaction	-0.19741517796884175	-0.19919005160334513	0.05025433720097532	-0.2992480639142565	-0.11036138171566467	1.0	0.000999000999000999	22	True	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
INFLAMMATORY_INTERFERON_FAMILY	erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	pairwise_contrast	-0.024492777521483714	-0.030689382031781412	0.10272158621855738	-0.25491398930237863	0.14640792029078634	0.578	0.4225774225774226	22	False	condition-matched day x pseudotime_bin x coarse_state block means
INFLAMMATORY_INTERFERON_FAMILY	erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	pairwise_contrast	-0.14771888276105619	-0.15164635158633122	0.07906883365426465	-0.31604858584187545	-0.009711386814590304	0.983	0.017982017982017984	22	False	condition-matched day x pseudotime_bin x coarse_state block means
INFLAMMATORY_INTERFERON_FAMILY	erythroid	T21_GATA1s_vs_T21_wtGATA1	pairwise_contrast	-0.04822018289962792	-0.04804189682711177	0.01705132926136631	-0.080032414291202	-0.013359040879085102	0.993	0.007992007992007992	21	True	condition-matched day x pseudotime_bin x coarse_state block means
INFLAMMATORY_INTERFERON_FAMILY	erythroid	NA	T21	-0.09250775876927461	-0.09765673949122114	0.06675957427593504	-0.2408097814708965	0.01638256774564841	0.949	0.05194805194805195	21	False	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
INFLAMMATORY_INTERFERON_FAMILY	erythroid	NA	GATA1s	-0.012516007320538359	-0.01807038125528448	0.07760782764236089	-0.18335813867949832	0.1143181885188502	0.556	0.44455544455544455	21	False	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
INFLAMMATORY_INTERFERON_FAMILY	erythroid	NA	interaction	-0.04888227770194278	-0.046991308282905125	0.08311913944768656	-0.19649670833893346	0.14167220193168845	0.745	0.25574425574425574	21	False	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
INFLAMMATORY_INTERFERON_FAMILY	mk	Euploid_GATA1s_vs_Euploid_wtGATA1	pairwise_contrast	-0.03853205939261793	-0.032901374967728776	0.08522814194615357	-0.20940131246429589	0.11775002740430085	0.633	0.3676323676323676	21	False	condition-matched day x pseudotime_bin x coarse_state block means
INFLAMMATORY_INTERFERON_FAMILY	mk	T21_wtGATA1_vs_Euploid_wtGATA1	pairwise_contrast	-0.17794209011690645	-0.175112131255406	0.07736201895342265	-0.32865145730445616	-0.029877643593144067	0.994	0.006993006993006993	21	False	condition-matched day x pseudotime_bin x coarse_state block means
INFLAMMATORY_INTERFERON_FAMILY	mk	T21_GATA1s_vs_T21_wtGATA1	pairwise_contrast	-0.03482890890489109	-0.03387611656482436	0.01927041875461949	-0.07098808683444481	0.0011222269548831346	0.97	0.030969030969030968	21	False	condition-matched day x pseudotime_bin x coarse_state block means
