family_id	trajectory	contrast	observed_family_delta_auc	n_blocks	n_perm	block_perm_p	block_perm_q	direction_stability
CELL_CYCLE_RIBOSOME_MYC_E2F_FAMILY	erythroid	T21_GATA1s_vs_T21_wtGATA1	-0.3481855305487997	21	5000	0.0001999600079984003	0.0007998400319936012	1.0
CELL_CYCLE_RIBOSOME_MYC_E2F_FAMILY	erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	0.1746671831775029	22	5000	0.0001999600079984003	0.0007998400319936012	1.0
CELL_CYCLE_RIBOSOME_MYC_E2F_FAMILY	mk	T21_GATA1s_vs_T21_wtGATA1	-0.2876689857781015	21	5000	0.0001999600079984003	0.0007998400319936012	1.0
CELL_CYCLE_RIBOSOME_MYC_E2F_FAMILY	mk	T21_wtGATA1_vs_Euploid_wtGATA1	0.16839694317064058	21	5000	0.0001999600079984003	0.0007998400319936012	1.0
CELL_CYCLE_RIBOSOME_MYC_E2F_FAMILY	myeloid	T21_GATA1s_vs_T21_wtGATA1	-0.29329544575504707	22	5000	0.0001999600079984003	0.0007998400319936012	1.0
CELL_CYCLE_RIBOSOME_MYC_E2F_FAMILY	myeloid	T21_wtGATA1_vs_Euploid_wtGATA1	0.19342223296233058	23	5000	0.0001999600079984003	0.0007998400319936012	1.0
ERYTHROID_EVENT_LOSS_FAMILY	erythroid	T21_GATA1s_vs_T21_wtGATA1	-0.2513105172760807	21	5000	0.0001999600079984003	0.0007998400319936012	1.0
ERYTHROID_EVENT_LOSS_FAMILY	mk	T21_GATA1s_vs_T21_wtGATA1	-0.20720294135037753	21	5000	0.0001999600079984003	0.0007998400319936012	1.0
ERYTHROID_EVENT_LOSS_FAMILY	myeloid	T21_GATA1s_vs_T21_wtGATA1	-0.16291870159048794	22	5000	0.0001999600079984003	0.0007998400319936012	1.0
HSPC_MYELOID_MK_CONTEXT_FAMILY	mk	T21_GATA1s_vs_T21_wtGATA1	-0.11837835985569002	21	5000	0.0005998800239952009	0.002159568086382723	1.0
HSPC_MYELOID_MK_CONTEXT_FAMILY	myeloid	T21_GATA1s_vs_T21_wtGATA1	-0.11134253962167191	22	5000	0.0009998000399920016	0.0032720728581556416	1.0
HSPC_MYELOID_MK_CONTEXT_FAMILY	erythroid	T21_GATA1s_vs_T21_wtGATA1	-0.09290428265142456	21	5000	0.003799240151969606	0.011074708135296017	1.0
INFLAMMATORY_INTERFERON_FAMILY	myeloid	T21_GATA1s_vs_T21_wtGATA1	-0.057099366975197186	22	5000	0.003999200159968006	0.011074708135296017	1.0
INFLAMMATORY_INTERFERON_FAMILY	erythroid	T21_GATA1s_vs_T21_wtGATA1	-0.04822018289962792	21	5000	0.023395320935812838	0.06015939669209015	0.993
ERYTHROID_EVENT_LOSS_FAMILY	mk	Euploid_GATA1s_vs_Euploid_wtGATA1	-0.17817892922996684	21	5000	0.04059188162367527	0.09742051589682064	0.991
ERYTHROID_EVENT_LOSS_FAMILY	myeloid	Euploid_GATA1s_vs_Euploid_wtGATA1	-0.11474700658298616	23	5000	0.05578884223155369	0.1255248950209958	0.973
INFLAMMATORY_INTERFERON_FAMILY	erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	-0.14771888276105619	22	5000	0.07598480303939212	0.1367726454709058	0.983
INFLAMMATORY_INTERFERON_FAMILY	mk	T21_GATA1s_vs_T21_wtGATA1	-0.03482890890489109	21	5000	0.07178564287142572	0.1367726454709058	0.97
INFLAMMATORY_INTERFERON_FAMILY	mk	T21_wtGATA1_vs_Euploid_wtGATA1	-0.17794209011690645	21	5000	0.07558488302339532	0.1367726454709058	0.994
INFLAMMATORY_INTERFERON_FAMILY	myeloid	T21_wtGATA1_vs_Euploid_wtGATA1	-0.19633626524806783	23	5000	0.07298540291941612	0.1367726454709058	0.985
HSPC_MYELOID_MK_CONTEXT_FAMILY	erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	0.12312168342611643	22	5000	0.16916616676664667	0.28999914302853713	0.935
ERYTHROID_EVENT_LOSS_FAMILY	erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	0.034022089231377214	22	5000	0.1941611677664467	0.3177182745269128	0.917
ERYTHROID_EVENT_LOSS_FAMILY	erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	-0.08054490983560775	22	5000	0.2563487302539492	0.40124149083226834	0.892
HSPC_MYELOID_MK_CONTEXT_FAMILY	mk	Euploid_GATA1s_vs_Euploid_wtGATA1	0.07098263506325933	21	5000	0.29374125174965005	0.4406118776244751	0.876
HSPC_MYELOID_MK_CONTEXT_FAMILY	myeloid	Euploid_GATA1s_vs_Euploid_wtGATA1	0.06438954013865515	23	5000	0.34313137372525493	0.49410917816436706	0.87
CELL_CYCLE_RIBOSOME_MYC_E2F_FAMILY	erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	0.11852827812827854	22	5000	0.3619276144771046	0.5011305431221448	0.876
CELL_CYCLE_RIBOSOME_MYC_E2F_FAMILY	mk	Euploid_GATA1s_vs_Euploid_wtGATA1	0.06620518011967028	21	5000	0.4039192161567686	0.5385589548756915	0.831
CELL_CYCLE_RIBOSOME_MYC_E2F_FAMILY	myeloid	Euploid_GATA1s_vs_Euploid_wtGATA1	0.06223726926116932	23	5000	0.4391121775644871	0.5645727997257691	0.82
ERYTHROID_EVENT_LOSS_FAMILY	myeloid	T21_wtGATA1_vs_Euploid_wtGATA1	0.020244694432280722	23	5000	0.554489102179564	0.6718656268746251	0.728
INFLAMMATORY_INTERFERON_FAMILY	myeloid	Euploid_GATA1s_vs_Euploid_wtGATA1	-0.11369348154262214	23	5000	0.5598880223955209	0.6718656268746251	0.759
HSPC_MYELOID_MK_CONTEXT_FAMILY	myeloid	T21_wtGATA1_vs_Euploid_wtGATA1	0.013637994694689931	23	5000	0.6172765446910617	0.7168372777057491	0.713
INFLAMMATORY_INTERFERON_FAMILY	mk	Euploid_GATA1s_vs_Euploid_wtGATA1	-0.03853205939261793	21	5000	0.6930613877224555	0.7796940611877624	0.633
HSPC_MYELOID_MK_CONTEXT_FAMILY	erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	0.006587264779382163	22	5000	0.8028394321135773	0.8720844066480822	0.605
INFLAMMATORY_INTERFERON_FAMILY	erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	-0.024492777521483714	22	5000	0.823635272945411	0.8720844066480822	0.578
HSPC_MYELOID_MK_CONTEXT_FAMILY	mk	T21_wtGATA1_vs_Euploid_wtGATA1	-0.006590712909629139	21	5000	0.8550289942011597	0.8794583940354785	0.567
ERYTHROID_EVENT_LOSS_FAMILY	mk	T21_wtGATA1_vs_Euploid_wtGATA1	-0.0011951575688762123	21	5000	0.9814037192561488	0.9814037192561488	0.491
