,Pathway,LogP_R,LogP_Py,Sigma_R,Z_Score
NegTail_3,NegTail_3,20.107055918513613,21.144237483682474,0.3545812034002317,2.92508896391115
NegTail_9,NegTail_9,19.495420993465792,20.599340421746565,0.3492488514774877,3.1608391074003173
NegTail_4,NegTail_4,19.319828375279823,20.357328013641823,0.3492488514774877,2.9706601286613266
PosTail_9,PosTail_9,19.563684842975317,20.30834155295095,0.3492488514774877,2.1321665242767915
NegTail_2,NegTail_2,18.98929343208028,20.05414270595171,0.34655190878877074,3.072697759149269
NegTail_1,NegTail_1,18.88384987895014,19.873897077338437,0.3438338126361849,2.8794352437581088
NegTail_0,NegTail_0,17.939380184860276,18.921495577535477,0.3355474428338237,2.926904714541046
PosTail_6,PosTail_6,17.848562790479054,18.62474437985077,0.3355474428338237,2.313179866862507
NegTail_5,NegTail_5,16.849999067839956,17.91729863217452,0.3241696273550267,3.292410744071437
NegTail_8,NegTail_8,17.039577416066066,17.80507186108236,0.32705119182278336,2.34059518485726
PosTail_0,PosTail_0,16.777554998953573,17.57312278456168,0.3241696273550267,2.454171267844884
PosTail_8,PosTail_8,16.72193041626965,17.499887495860794,0.3241696273550267,2.3998456786303097
PosTail_7,PosTail_7,16.42353355766462,17.170951614804686,0.3212622177074234,2.3265046921518078
PosTail_1,PosTail_1,16.34865491699634,17.027045039120406,0.3212622177074234,2.1116399144412195
NegTail_7,NegTail_7,15.798411860556111,16.444823654160682,0.3153669972902716,2.04971287088936
PosTail_2,PosTail_2,14.158945093106468,14.88763874857862,0.3001227567410625,2.427985345536629
NegTail_6,NegTail_6,14.027970499520427,14.47752685100639,0.2969800234706866,1.5137595656462084
PosTail_5,PosTail_5,13.308919172199412,13.816027376541866,0.29059260966899847,1.745082934991263
PosTail_4,PosTail_4,12.183988495760149,12.800835046879449,0.2773768658367487,2.223857238548373
PosTail_3,PosTail_3,12.17916300151678,12.800835046879449,0.2773768658367487,2.2412541264505843
